id,raw_text,gender,birth_year,age,zodiac,mbti,height_cm,weight_kg,bmi,hometown,current_location,education,occupation,annual_income,hobbies,personality,has_house,has_car,marital_status,partner_preferences,self_introduction
men_100_93,"编号93
```
男 88年
身高178  体重75
居住东京 户籍辽宁大连
在日13年 从事电商贸易工作
爱好 自驾 旅游 滑雪等
```

- (",male,1988,37,,,178,75,23.7,辽宁大连,东京,,电商贸易,,"旅游, 滑雪, 自驾",,,,,,
men_100_92,"编号92
```
性别：男
出厂日：1988（天秤）
产地：辽宁大连
身高体重：172/63kg
学历：本科大连理工，
硕士九州大学
居住地：琦玉 蕨
工作：内装设计+项目管理
房：已购房，离蕨车站5分钟
属性：性格开朗，可静可动，不抽烟，不酗酒
兴趣爱好（方便找共同点)：
游泳，爬山，户外写生，绘画，
弹琴🎹，听音乐会，看艺术展，
电子游戏，吃吃逛逛
希望找一个聊的来，
三观契合，兴趣爱好相近，
情绪稳定，温柔体贴的女生
```


- (",male,1988,37,天秤,,172,63,21.3,辽宁大连,琦玉蕨,本科大连理工，硕士九州大学,内装设计+项目管理,,"吃吃逛逛, 听音乐会, 弹琴, 户外写生, 游泳, 爬山, 电子游戏, 看艺术展, 绘画",性格开朗，可静可动，不抽烟，不酗酒,True,,,希望找一个聊的来，三观契合，兴趣爱好相近，情绪稳定，温柔体贴的女生,
men_100_91,"编号91

![WechatIMG2207](https://github.com/user-attachments/assets/44916912-0096-4a3a-8e33-2cc846cd61ee)

![WechatIMG2112](https://github.com/user-attachments/assets/899e9a4b-deaa-49b1-8558-998b0ef40162)


- （",male,,,,,,,,,,,,,,,,,,,
